type,word,start,surrounding
word,secret,7988,kalenetwork/skale-manager into cla-action Rename ***secret***s Merge branch 'develop' into cla-action Add new 
word,token,28028,verifier tests SKALE-4695 Remove web3 from skale ***token*** tests SKALE-4695 Remove web3 from skale DKG fake
word,key,45660,skalenetwork/enhancement/SKALE-2510-adopt-private-***key***s Enhancement/skale 2510 adopt private ***key***s SKALE
word,key,45703,rivate-***key***s Enhancement/skale 2510 adopt private ***key***s SKALE-2510 fix Wallets test SKALE-2510 uncommen
word,key,46020,erge branch 'enhancement/SKALE-2510-adopt-private-***key***s' of https://github.com/skalenetwork/skale-manage
word,key,46117,manager into enhancement/SKALE-2510-adopt-private-***key***s SKALE-2510 refix SkaleDKG test SKALE-2510 comm
word,key,48982,Fix github action env Rename environment private ***key***s Merge pull request #630 from skalenetwork/depen
word,token,91638,et SKALE-3793 Duplicate delegation controller in ***token*** state Merge pull request #506 from skalenetwork/
word,token,92228,3783 Update tests SKALE-3783 Add optimization of ***token*** transfers SKALE-3762 Add documentation SKALE-37
word,credential,93497, Set environment variables SKALE-2958 Fix docker ***credential***s Merge pull request #485 from skalenetwork/enhan
word,key,94941,LE-2958 Fix environment variables SKALE-2958 Add ***key***s check SKALE-2958 Change coverage.sh permissions
word,key,101185,445 from skalenetwork/enhancement/SKALE-3504-hash-***key*** SKALE-3504 add hash on X coordinate SKALE-3569 A
word,key,101436,branch 'develop' into enhancement/SKALE-3504-hash-***key*** Merge pull request #441 from skalenetwork/enhance
word,key,120475,.2 network update Add elliptic to test for publi ***key***s Merge pull request #371 from skalenetwork/enhan
word,key,120986,ng SKALE-3212 Replace send with mint Add public ***key*** to address function Extend IsRotationInProgress 
word,token,121097,e calls SKALE-3212 Update tests SKALE-3212 Mint ***token***s on bounty payments Merge pull request #369 from
word,key,121443,m skalenetwork/enhancement/Remove-node-bls-public-***key***s Enhancement/remove node bls public ***key***s Remove 
word,key,121484,s-public-***key***s Enhancement/remove node bls public ***key***s Remove comments SKALE-3172 Fix compatiblity iss
word,key,121648, Fix test Remove computation od node bls public ***key*** SKALE-3172 Remove prohibition of delegations bef
word,key,123224,only owned items Change title to h1 Fix typo in ***key***Storage.ts Rename hbs file Fix BountyGot -> Boun
word,token,123997,ncement/generate-abi Add information about skale-***token*** Bump version Add deployment artifacts Merge br
word,key,131825,uest #296 from skalenetwork/bugfix/DKG-BLS-public-***key***-and-node-rotation Bugfix/SKALE 2847 dkg bls publ
word,key,131881,d-node-rotation Bugfix/SKALE 2847 dkg bls public ***key*** and node rotation SKALE-2837 Add more tests and m
word,key,132035,Merge branch 'develop' into bugfix/DKG-BLS-public-***key***-and-node-rotation SKALE-2847 beautify code SKALE
word,key,132115,47 beautify code SKALE-2847 fix calculate public ***key*** Merge pull request #295 from skalenetwork/enhanc
word,key,132433,Fix test of admin access init fix for BLS public ***key*** Merge branch 'develop' into enhancement/SKALE-28
word,key,135132,t #277 from skalenetwork/feature/SKALE-2812-admin-***key*** SKALE-2812 Update permissions SKALE-2785 Change 
word,key,135286,ge branch 'develop' into feature/SKALE-2812-admin-***key*** Merge pull request #272 from skalenetwork/bug/SKA
word,key,135358, #272 from skalenetwork/bug/SKALE-2810-bls-public-***key***s SKALE-2810 compute public ***key***s Added check for 
word,key,135390,E-2810-bls-public-***key***s SKALE-2810 compute public ***key***s Added check for avoiding data arrays Remove Tim
word,key,135635,e branch 'develop' into bug/SKALE-2810-bls-public-***key***s Merge pull request #278 from skalenetwork/enhan
word,key,135880,e branch 'develop' into bug/SKALE-2810-bls-public-***key***s Fixed verifySchainSignature test Fixed failing 
word,key,137268,e branch 'develop' into bug/SKALE-2810-bls-public-***key***s SKALE-2810 compute public ***key***s Fix tests Merge
word,key,137299,LE-2810-bls-public-***key***s SKALE-2810 compute public ***key***s Fix tests Merge pull request #271 from skalene
word,token,144951,09 Allow the foundation to create schains without ***token***s Bump truffle from 5.1.27 to 5.1.29 Bumps [truf
word,secret,148708,ment/skale 2625 dkg refactoring SKALE-2625 Rename ***secret***KeyContribution argument SKALE-2625 Rename Comple
